session_swing,hand_speed_mag_swing_max_velo_x,hand_speed_mag_swing_max_velo_x_pct,torso_angular_velocity_swing_max_x,torso_angular_velocity_swing_max_x_pct,swing_efficiency,swing_efficiency_pct,bat_torso_angle_connection_x,bat_torso_angle_connection_x_pct,attack_angle_contact_x,attack_angle_contact_x_pct,poi_x,poi_x_pct,poi_y,poi_y_pct,pitch_angle,pitch_angle_pct,exit_velo_mph_x,exit_velo_mph_x_pct
378_4,1518.2629,6.5,940.4513,62.0,3.3491,71.4,103.2317,37.5,-2.3647,15.0,2.44,60.2,25.2,23.2,-5.5,84.3,88.6,36.1
378_5,1580.5094,12.9,929.0023,55.8,3.3386,70.1,103.1531,37.3,5.3722,58.7,2.57,61.5,30.82,51.6,-4.6,90.0,81.0,12.1
378_6,1598.4342,16.4,980.7231,81.6,3.5173,86.1,103.6508,38.4,-1.3759,18.1,2.32,59.7,31.82,58.9,-4.4,90.6,86.3,26.2
378_7,1652.9742,25.6,928.7797,55.2,3.3451,70.7,101.0721,30.6,0.4266,27.4,0.57,45.5,33.53,71.3,-4.6,90.0,84.8,21.5
378_8,1633.8214,22.4,947.1722,66.6,3.3572,72.5,104.6425,41.3,-1.8076,16.9,5.56,85.5,35.64,84.5,-4.0,90.9,81.0,12.1
383_1,1894.4087,68.3,944.8478,65.4,3.1448,40.8,86.6854,3.8,6.4701,66.1,3.88,74.7,38.76,94.6,-5.4,85.7,100.6,94.3
383_2,1877.3384,65.9,911.899,47.2,2.7557,7.1,85.2161,2.1,-1.069,19.4,-2.26,12.2,33.36,69.7,-6.4,59.2,94.7,73.9
383_3,1912.7616,70.7,960.9555,74.9,3.2501,54.6,87.2654,4.3,2.4557,37.3,2.94,65.2,33.81,73.7,-6.2,68.2,96.5,83.6
383_4,1952.2855,74.9,984.8548,83.3,3.2499,54.4,88.6301,5.7,8.0758,74.0,11.29,98.5,30.81,51.5,-6.6,50.1,101.1,95.7
383_5,1878.0613,66.1,922.2931,51.8,3.0731,32.4,85.081,1.9,9.8079,85.7,3.24,67.4,30.49,49.6,-6.9,32.8,93.4,66.0
383_6,1932.6764,72.8,949.5521,68.0,2.9419,17.0,86.4772,3.4,5.3376,58.3,2.57,61.5,30.32,48.5,-6.8,38.1,94.9,74.5
383_7,1926.9845,72.3,971.0646,78.0,3.2273,51.5,87.5078,4.6,3.722,46.6,3.76,72.8,31.63,57.5,-6.5,55.0,103.8,98.6
383_8,2031.6204,84.0,969.0906,77.6,3.2539,55.1,88.6397,5.9,8.616,77.6,9.6,97.1,30.76,51.3,-6.7,43.8,101.6,97.2
391_1,1869.1588,64.5,1012.7174,91.7,3.5117,84.7,109.5284,57.5,-22.8545,0.3,0.0,34.4,0.0,7.5,-6.3,64.2,92.3,58.5
391_2,1810.0844,53.5,984.4808,83.0,3.6383,94.8,107.8556,51.5,-4.1096,8.3,-0.18,25.8,32.73,65.6,-6.4,59.2,92.7,61.4
391_3,1818.0802,55.2,949.9955,68.5,3.5813,90.9,108.4015,53.2,-8.5888,1.7,0.68,47.0,31.43,55.6,-6.8,38.1,91.9,56.0
391_4,1888.5936,67.5,996.7505,87.6,3.6154,92.9,108.8801,54.7,-3.9004,9.5,4.64,79.3,30.28,48.0,-6.9,32.8,89.1,38.4
391_5,1813.5145,54.4,973.6906,79.2,3.6348,94.1,110.4875,60.8,-2.2073,15.3,1.58,54.0,32.63,64.6,-6.4,59.2,90.2,44.8
391_7,2092.1646,89.7,1049.9163,95.4,3.4715,81.6,111.1277,63.9,-0.5296,22.0,-0.59,22.7,32.04,61.4,-6.5,55.0,97.7,87.6
391_8,1919.7738,71.6,1071.6703,97.4,3.5456,87.6,109.4156,56.6,-1.0983,19.3,-0.26,24.7,30.89,52.1,-6.6,50.1,93.3,65.1
396_1,1832.9777,59.4,906.7421,45.8,3.564,89.5,86.5511,3.6,-3.2267,11.7,3.98,75.7,26.32,26.2,-7.6,10.7,91.3,52.0
